,adaptation,avg_isi,electrode_0_pa,f_i_curve_slope,fast_trough_t_long_square,fast_trough_t_ramp,fast_trough_t_short_square,fast_trough_v_long_square,fast_trough_v_ramp,fast_trough_v_short_square,has_burst,has_delay,has_pause,id,input_resistance_mohm,latency,peak_t_long_square,peak_t_ramp,peak_t_short_square,peak_v_long_square,peak_v_ramp,peak_v_short_square,rheobase_sweep_id,rheobase_sweep_number,ri,sag,seal_gohm,slow_trough_t_long_square,slow_trough_t_ramp,slow_trough_t_short_square,slow_trough_v_long_square,slow_trough_v_ramp,slow_trough_v_short_square,specimen_id,tau,threshold_i_long_square,threshold_i_ramp,threshold_i_short_square,threshold_t_long_square,threshold_t_ramp,threshold_t_short_square,threshold_v_long_square,threshold_v_ramp,threshold_v_short_square,thumbnail_sweep_id,trough_t_long_square,trough_t_ramp,trough_t_short_square,trough_v_long_square,trough_v_ramp,trough_v_short_square,upstroke_downstroke_ratio_long_square,upstroke_downstroke_ratio_ramp,upstroke_downstroke_ratio_short_square,vm_for_sag,vrest
764,0.00099563686519083,13.9058333333333,-85.125621829274,0.81212126518645,0.126725,15.1901316666667,0.00840750000000012,-52.96875,-52.6875012715658,-65.4843788146973,False,True,False,396485689,159.05984,67.455,0.125955,15.189315,0.00342000000000009,4.28125047683716,5.17708333333333,9.890625,396346475,53,97.3437871634964,0.0667857597586243,1.949379456,0.130955,15.1943183333333,0.5100075,-45.46875,-46.5208333333333,-76.28125,321016044,6.95598380087899,390.0,379.791666666667,690.0,0.12565,15.1889733333333,0.00314750000000008,-33.03125,-30.9062512715658,-46.9687519073486,396346479,0.126725,15.1901316666667,0.5100075,-52.96875,-52.6875012715658,-76.28125,1.2669715549708,1.13465058076905,1.42416409159052,-86.8125,-76.2742448694566
765,0.0181310460094364,56.16125,-24.2650014664614,0.20139911634757,1.14494,4.84312,1.025052,-47.5625038146973,-49.2916692097982,-49.4375022888184,False,False,False,509502189,185.442624,0.04592,1.14314,4.84132,1.023476,32.6875,32.4583346048991,30.5187515258789,509478367,31,142.187535762787,0.0362740457057953,1.194672128,1.17096,4.86668,1.645736,-53.0625038146973,-55.1875012715658,-80.0875061035156,500955426,14.1134506004501,90.0,95.5416666666667,180.0,1.14266,4.8408,1.023016,-36.1562538146973,-36.1354192097982,-40.6000030517578,509478374,1.17096,4.86668,1.645736,-53.0625038146973,-55.1875012715658,-80.0875061035156,2.67117788941934,2.55340376148429,2.60675427646537,-95.46875,-79.6339721679688
766,0.0714051949103888,118.105,-27.0312522365757,0.0854166666004385,0.20993,4.30741333333333,0.00845500000000006,-47.0937538146973,-49.0520833333333,-54.0729198455811,False,False,False,475411965,194.35896,75.645,0.20496,4.30304333333333,0.00349833333333342,37.0,37.8645833333333,40.4739608764648,475409692,35,160.044740949359,0.0510165449995155,3.433086976,0.259525,4.350025,0.624205,-55.4062538146973,-54.9375038146973,-82.4791704813639,475400072,18.6094323310406,90.0,107.625,1120.0,0.204445,4.30252,0.00301166666666675,-32.375,-35.0208358764648,-47.3906275431315,475409696,0.259525,4.350025,0.624205,-55.4062538146973,-54.9375038146973,-82.4791704813639,3.80076772997454,3.80726993926555,4.16979177065152,-97.625,-80.5924892425537
767,0.00448565520884427,12.8574025974026,-99.7731203211671,1.1225,0.0107550000000001,12.1170616666667,0.0083316666666667,-54.5625,-53.75,-69.6979192097982,False,False,False,396485173,149.703568,6.70999999999999,0.00977500000000009,12.1156566666667,0.00334500000000008,14.59375,15.0625009536743,15.28125,396320970,43,103.281363436579,0.0743990585780844,1.165433088,0.014775,12.1206666666667,0.366053333333333,-48.90625,-50.1354166666667,-78.1875,318522838,4.81219048224986,310.0,302.958333333333,530.0,0.00944000000000011,12.115285,0.00300166666666672,-41.84375,-32.0416666666667,-44.8854192097982,396320976,0.0107550000000001,12.1170616666667,0.366053333333333,-54.5625,-53.75,-78.1875,1.61296669374514,1.53106525628516,1.67123752943741,-89.3750076293945,-77.5539989471436
768,0.0265356304414719,97.82,-62.9337484903125,0.130357142857143,0.130905,4.988785,0.00849000000000011,-45.6875,-47.0208346048991,-51.1093778610229,False,False,False,464357098,89.69156,73.615,0.12605,4.98380666666667,0.00351375000000009,24.84375,32.8229166666667,28.6484379768372,396426672,51,116.718632285298,0.112130271475592,1.733741696,0.16508,5.02519333333333,0.49315625,-54.0312538146973,-56.0208333333333,-74.078125,348592897,23.4339611836751,130.0,124.625,1420.0,0.125605,4.98338833333333,0.0031412500000001,-34.9687538146973,-34.9270833333333,-41.7343759536743,396426676,0.16508,5.02519333333333,0.49315625,-54.0312538146973,-56.0208333333333,-74.078125,3.11670159397754,3.04764947116831,2.99896670683144,-86.96875,-73.2443957328796
769,,,2.53562513867489,0.571591233864432,0.79258,21.8698733333333,0.00829300000000006,-58.1875038146973,-58.4479204813639,-68.5375030517578,False,False,False,473068045,78.383472,,0.791795,21.8690816666667,0.00333300000000007,8.3125,14.1875006357829,20.0250011444092,473021165,99,45.7813656970863,0.053861115822532,2.078683008,0.796795,21.87409,0.291772,-47.0312538146973,-52.3125038146973,-76.9062530517578,473016550,5.15063717607617,630.0,546.75,1040.0,0.79146,21.8687483333333,0.00304900000000004,-34.0312538146973,-34.0104179382324,-48.9500007629395,473021051,0.79258,21.8698733333333,0.291772,-58.1875038146973,-58.4479204813639,-76.9062530517578,1.13723605558799,1.24721770616069,1.38911349290087,-81.71875,-76.142677833294
770,0.00430307808237836,76.96625,1.67187487812304,0.128624080375494,0.0943450000000001,6.12953,0.00811200000000003,-58.3125,-58.5416704813639,-62.2250022888184,False,False,False,482536783,105.004096,31.0650000000001,0.0893700000000002,6.12454,0.00312500000000004,17.9687519073486,25.2187512715658,21.8187503814697,482530288,42,106.25,0.0843223342001483,1.632587264,0.100865,6.13656,0.455093,-61.5937538146973,-62.1562525431315,-74.7562545776367,482521571,5.67562194118922,160.0,153.166666666667,740.0,0.089,6.12418333333333,0.00279600000000011,-34.7500038146973,-36.28125,-43.1812515258789,482530276,0.100865,6.13656,0.455093,-61.5937538146973,-62.1562525431315,-74.7562545776367,3.38755587995475,3.516772242655,2.73870846118911,-85.4375076293945,-73.8222689421281
771,0.0375035550569678,69.6015384615385,-40.8381245486922,0.189546193198315,0.13345,2.810485,0.00836000000000003,-48.15625,-46.2083333333333,-54.3203134536743,False,False,False,464348866,172.576816,52.6300000000002,0.128475,2.80550833333333,0.0033725,43.0,45.0000025431315,47.1718778610229,396367900,42,164.531286320091,0.0650530066572825,1.911780736,0.153395,2.84512166666667,0.6598075,-52.9062538146973,-52.7812525431315,-82.5390625,324032509,19.3089818657508,90.0,70.2083333333333,900.0,0.12804,2.80506666666667,0.00298875000000004,-34.125,-32.9062512715658,-47.3515644073486,396367904,0.153395,2.84512166666667,0.6598075,-52.9062538146973,-52.7812525431315,-82.5390625,3.36157326630177,3.61794001343574,4.220433424617,-100.781257629395,-82.5243043445406
772,0.016399262850574,29.4224242424243,-8.44562440815988,0.470218505530078,0.0726200000000001,1.98308,0.00849000000000011,-51.7812538146973,-53.6875,-56.9062538146973,False,False,False,396490296,341.928832,21.625,0.070595,1.97923,0.00351500000000016,22.9375,23.875,22.5,396401398,28,279.062508291006,0.106533278235875,1.317689984,0.0804200000000002,1.991265,0.1626,-52.0312538146973,-54.1875038146973,-73.8437576293945,327962063,15.7673921880277,50.0,49.5,390.0,0.070155,1.97878,0.00313000000000008,-40.1562538146973,-37.4375038146973,-39.5,396401405,0.0804200000000002,1.991265,0.1626,-52.0312538146973,-54.1875038146973,-73.8437576293945,3.10975916020805,3.08463539017373,2.86569206733293,-99.90625,-73.4817079242907
773,0.0426828602019756,55.8046875,-12.4681246230218,0.258199242603468,0.0689650000000002,2.76933833333333,0.00832500000000006,-53.1562538146973,-51.9166692097982,-57.1093781789144,False,False,False,486513307,286.964288,19.9400000000001,0.063995,2.76436666666667,0.00335916666666673,21.34375,25.7395846048991,24.1458342870076,486509474,42,206.875078186396,0.010733495742782,3.724146176,0.0745800000000001,2.78144833333333,0.4410325,-55.0000038146973,-55.0625025431315,-67.640630086263,486508983,24.1852345711085,80.0,69.1666666666667,450.0,0.0634300000000001,2.76380333333333,0.00291166666666672,-37.9375038146973,-36.1875012715658,-47.1927096048991,486509462,0.0745800000000001,2.78144833333333,0.4410325,-55.0000038146973,-55.0625025431315,-67.640630086263,2.92414700973978,2.91182850756088,3.33334664737845,-90.03125,-67.1827821731567
