"line_name","specimen__id","specimen__name","specimen__hemisphere","structure__id","structure__name","structure__acronym","structure_parent__id","structure_parent__acronym","structure__layer","nr__max_euclidean_distance","nr__number_stems","nr__number_bifurcations","nr__average_contraction","nr__average_parent_daughter_ratio","nrwkf__id","erwkf__id","ef__upstroke_downstroke_ratio_long_square","ef__adaptation","ef__f_i_curve_slope","ef__threshold_i_long_square","ef__tau","ef__avg_isi","ef__avg_firing_rate","ef__ri","ef__peak_t_ramp","ef__vrest","si__height","si__width","si__path","csl__x","csl__y","csl__z","csl__normalized_depth","cell_reporter_status","m__glif","m__biophys_perisomatic","m__biophys_all_active","tag__apical","tag__dendrite_type","morph_thumb_path","ephys_thumb_path","ephys_inst_thresh_thumb_path","id"
"Htr3a-Cre_NO152","475585413","Htr3a-Cre_NO152;Ai14-185347.03.02.01","right","593","Primary visual area, layer 1","VISp1","385","VISp","1","34.5833257551103","7","21","0.905649926732218","0.803261907040164","492100859","491201506","2.52540744172472","0.00865127294142931","0.335791125394501","120.000007629395","9.73759089954452","32.9784482758621","30.3228336165207","214.843790596722","3.56545166666667","-65.2326895973899","5737","5744","/external/mousecelltypes/prod375/specimen_475585413/min_xy_475585413.aff","8721.39","555.458","8085.26","0.0318924","cre reporter positive","5","1","0","NA","aspiny","/api/v2/well_known_file_download/487661135","/api/v2/well_known_file_download/487613493","/api/v2/well_known_file_download/491382241","97"
"Sst-IRES-Cre","464198958","Sst-IRES-Cre;Ai14-165865.03.01.01","right","778","Primary visual area, layer 5","VISp5","385","VISp","5","198.31767215703","3","15","0.910148925653853","0.751841736022179","491119183","491202206","2.35001740631432","0.00800751915747272","0.33385579673378","20","23.1995641071199","42.8673913043478","23.3277549571479","358.353362768976","0.751103333333333","-66.2407235538258","5732","7579","/external/mousecelltypes/prod132/specimen_464198958/min_xy_312954820.aff","9343.07","1807.36","8841.07","0.595127","cre reporter positive","2","1","1","NA","aspiny","/api/v2/well_known_file_download/487661130","/api/v2/well_known_file_download/487631014","/api/v2/well_known_file_download/491381124","735"
"Htr3a-Cre_NO152","474626527","Htr3a-Cre_NO152;Ai14-182004.05.02.01","right","721","Primary visual area, layer 4","VISp4","385","VISp","4","232.826317352398","4","13","0.9048873923645","0.791952164439397","491120375","491198300","2.32984108094314","0.0356742414884892","0.495058148862737","30.0000019073486","20.1879489262047","34.7965384615385","28.738490787103","344.687503895166","1.73527666666667","-62.6109969615936","7594","5758","/external/mousecelltypes/prod347/specimen_474626527/min_xy_474626527.aff","8276.37","1010.47","8495.92","0.34213","cre reporter positive","2","1","1","NA","aspiny","/api/v2/well_known_file_download/489405315","/api/v2/well_known_file_download/487610113","/api/v2/well_known_file_download/491380834","92"
"Scnn1a-Tg3-Cre","323834998","Scnn1a-Tg3-Cre;Ai14-172530.03.01.01","right","33","Primary visual area, layer 6a","VISp6a","385","VISp","6a","290.22920982772","5","31","0.902724602218568","0.845644067313268","491771139","491201411","2.29137261770713","0.0062299763256167","0.317876358671206","90","21.095861220903","58.665625","17.0457572044958","192.812459874152","3.52251333333333","-73.0371104649135","5742","5748","/external/mousecelltypes/prod254/specimen_323834998/min_xy_323834998.aff","9150.36","1716.72","8639.84","0.720513","cre reporter positive","5","1","0","NA","aspiny","/api/v2/well_known_file_download/487660655","/api/v2/well_known_file_download/487633654","/api/v2/well_known_file_download/491381034","654"
"Sst-IRES-Cre","466664172","Sst-IRES-Cre;Ai14-179870.04.01.01","left","778","Primary visual area, layer 5","VISp5","385","VISp","5","123.33259997935","4","13","0.88882007817093","0.8304678296979","491120346","491202409","2.14806319752947","0.0361738299881702","0.275206394218262","30.0000019073486","38.7515736861655","39.7744736842105","25.1417531741464","476.5624284029","0.669135","-66.9523895665219","7596","5770","/external/mousecelltypes/prod312/specimen_466664172/min_xy_466664172.aff","8553.77","1374.53","2807.19","0.617216","cre reporter positive","2","1","1","NA","aspiny","/api/v2/well_known_file_download/487661112","/api/v2/well_known_file_download/487634496","/api/v2/well_known_file_download/491383007","738"
"Sst-IRES-Cre","485466109","Sst-IRES-Cre;Ai14-202729.03.02.01","right","593","Primary visual area, layer 1","VISp1","385","VISp","1","347.307452073185","5","21","0.776884319994928","0.871104888730361","496079508","491317295","1.93575843072108","0.048708825111257","0.297916672955385","170","13.7411059145125","118.397142857143","8.4461497623012","147.656254328791","6.18038666666667","-65.5034227371216","11260","7577","/external/mousecelltypes/prod487/specimen_485466109/min_xy_485466109.aff","8826.59","448.458","7826.24","0.0340259","cre reporter positive","2","1","0","NA","aspiny","/api/v2/well_known_file_download/496080019","/api/v2/well_known_file_download/485484946","/api/v2/well_known_file_download/491378712","792"
"Sst-IRES-Cre","464212183","Sst-IRES-Cre;Ai14-165865.05.02.01","left","778","Primary visual area, layer 5","VISp5","385","VISp","5","264.796440405227","3","18","0.878901265742507","0.973564170076721","491119539","491202881","1.91568368870623","0.0106601916957407","0.387014762165118","70","19.0359532943262","50.9122222222222","19.641649025556","223.437574040889","2.84821","-65.7716649373372","7577","7578","/external/mousecelltypes/prod132/specimen_464212183/min_xy_464212183.aff","8285.43","1236.95","3155.81","0.695336","cre reporter positive","5","1","1","NA","aspiny","/api/v2/well_known_file_download/487659500","/api/v2/well_known_file_download/487630084","/api/v2/well_known_file_download/491377895","736"
"Sst-IRES-Cre","478396248","Sst-IRES-Cre;Ai14-192340.03.01.01","left","778","Primary visual area, layer 5","VISp5","385","VISp","5","491.285892522073","5","11","0.908148681740041","0.66213473273119","491119723","491202645","1.80530732554054","0.0287926829891342","0.46497797563932","50","45.8324475732079","45.1392857142857","22.1536513964712","422.031298996507","1.93226833333333","-66.7581085628933","7593","5764","/external/mousecelltypes/prod405/specimen_478396248/min_xy_478396248.aff","9009.37","1361.57","8556.59","0.497606","cre reporter positive","2","1","1","NA","aspiny","/api/v2/well_known_file_download/487661721","/api/v2/well_known_file_download/487636555","/api/v2/well_known_file_download/491378761","771"
"Sst-IRES-Cre","476686112","Sst-IRES-Cre;Ai14-188740.03.02.01","right","821","Primary visual area, layer 2/3","VISp2/3","385","VISp","2/3","304.257999946358","8","24","0.916679505275694","0.798288714553648","491119371","491216148","1.75176736697083","0.0156101257000066","0.313125","50","26.9105881442791","58.4721875","17.1021479228907","240.781290511785","1.596605","-64.7838877360026","7590","7590","/external/mousecelltypes/prod387/specimen_476686112/min_xy_476686112.aff","9098.7","1069.29","8688.63","0.163525","cre reporter positive","5","1","1","NA","aspiny","/api/v2/well_known_file_download/487686145","/api/v2/well_known_file_download/491383476","/api/v2/well_known_file_download/491383483","764"
"Sst-IRES-Cre","485058595","Sst-IRES-Cre;Ai14-202726.05.02.01","right","721","Primary visual area, layer 4","VISp4","385","VISp","4","212.990843998173","6","7","0.877597964388624","0.608816906485351","496123887","491316443","1.741363357866","0.0132842671833418","0.427209625173531","50","31.8776607198812","44.057380952381","22.6976724077366","353.571399031856","1.62665333333333","-67.0187597835765","9439","5764","/external/mousecelltypes/prod492/specimen_485058595/min_xy_485058595.aff","8560.66","989.313","8015.22","0.487695","cre reporter positive","2","1","1","NA","aspiny","/api/v2/well_known_file_download/496197436","/api/v2/well_known_file_download/485066515","/api/v2/well_known_file_download/491378773","785"
